url,depth,title,status
https://able.co/,0,Home | Building Software with World-Class Talent and AI | Able,200
https://able.co/privacy-policy,1,Privacy Policy | Protecting Your Data & Privacy | Able,200
https://able.co/security-transparency-governance,1,"Security | Safe, Transparent, Governed AI Development | Able",200
https://able.co/contact,1,Contact Us | Let’s Build Something Amazing Together | Able,200
https://able.co/social-good,1,Social Good | Driving Change Through Technology | Able,200
https://able.co/team,1,Our Team | Meet the Experts Driving Innovation at Able | Able,200
https://able.co/work,1,Our Work | Partnering to Deliver Innovation and Impact through AI-Powered Solutions | Able,200
https://able.co/offerings,1,Our Offerings | AI Solutions for Every Stage of Software Development | Able,200
https://able.co/work/up-together,2,UpTogether | Optimizing Nonprofit Operations with AI | Able,200
https://able.co/work/harmonic,2,Harmonic Health | Connected Systems for Dementia Care | Able,200
https://able.co/work/syntax,2,Syntax | Advancing Development with AI Solutions | Able,200
https://able.co/work/updater,2,Updater | Simplifying Moving with Mobile App Strategy | Able,200
https://able.co/work/beanstalk,2,Beanstalk | Revolutionizing Employee Benefits Delivery | Able,200
https://able.co/work/we-the-action,2,We The Action | Mobilizing Pro Bono Legal Work for Impact | Able,200
https://able.co/work/quiller,2,Quiller | Transforming Fundraising with Generative AI | Able,200
https://able.co/offerings?utm_campaign=Launch%20Campaign&utm_content=315164565&utm_medium=social&utm_source=linkedin&hss_channel=lcp-9480229,2,Our Offerings | AI Solutions for Every Stage of Software Development | Able,200
https://able.co/work?trk=public_post_main-feed-card_reshare-text,2,Our Work | Partnering to Deliver Innovation and Impact through AI-Powered Solutions | Able,200
https://able.co/work/mid-market-company,2,Mid-Market Growth | Empowering Growth with AI Solutions | Able,200
